id,name,brand,original_price,discount,price,discount_rate,quantity_sold,rating_average,seller_id,seller_name,days_since_joined,seller_avg_rating,is_official,review_count,total_follower
31638135,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",MRM Manlywear,340000,85000,255000,25,4277.0,4.7,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
205231567,"Combo 3 Quần Lót Nam Thun Cotton OneZ Dáng Trunk Co Giãn, Thoải Mái - QL1",ONEZ,199000,80000,119000,40,83.0,4.6,5646.0,ONEZ Official Store,1786.0,4.3814,True,3595.0,1184.0
99958075,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,199000,70000,129000,35,2196.0,4.7,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
172305521,"Áo thun polo nam thể thao LADOS - 9080 có cổ bẻ, vải thun lạnh, phông rộng",LADOS,249000,110000,139000,44,237.0,4.7,175389.0,Thời Trang Lados,639.0,4.6093,True,2434.0,1832.0
31637590,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,MRM Manlywear,340000,91000,249000,27,2761.0,4.7,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
50347611,Combo 2 Quần shorts thể thao nam dạng sọt sport đùi chất thun lạnh 4 chiều cao cấp phù hợp tập gym hay mặc nhà màu trắng và đen DUI-P101 - tặng 1 khẩu trang chống nắng,Doka,130000,51000,79000,39,341.0,4.3,9691.0,dokafashion,1696.0,4.335,True,1952.0,266.0
67538621,COmbo 5 quần ĐÙI May 10,May 10,135000,15000,120000,11,15068.0,4.6,16588.0,May 10,1605.0,4.574,False,7995.0,2286.0
17912482,"Áo khoác nam chống nắng gió thu đông Doka (DBLS102) chất liệu dù giữ ấm cao cấp màu đen , màu xanh đen , màu xanh rêu",Doka,229000,90000,139000,39,843.0,4.5,9691.0,dokafashion,1696.0,4.335,True,1952.0,266.0
22610869,"Combo 3 Áo Thun nam HÀNG HIỆU đa phong cách -  ĐB3QC16 (Chọn Màu)- Vải thun cotton có điểm đặc biệt, thân thiện với làn da, co giãn và khả năng thấm hút tốt",Doka,400000,191000,209000,48,452.0,4.5,9691.0,dokafashion,1696.0,4.335,True,1952.0,266.0
145680551,"Hộp 6 quần lót nam thun lạnh Hàn Quốc CITYMEN cao cấp co giãn 4 chiều, kháng khuẩn, thấm hút tốt ( Giao màu ngẫu nhiên )",CITYMEN,250000,140400,109600,56,2763.0,4.7,9311.0,THỜI TRANG LIÊN MINH,1699.0,4.5213,False,18594.0,5143.0
99968881,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,144000,255000,36,1726.0,4.8,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
154298071,"Combo 2 quần đùi nam, quần Short Gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,130000,269000,33,540.0,5.0,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
131131915,"Áo polo nam ngắn tay có cổ ARISTINO mềm mại, nhẹ thoáng mát - APS018S1",Aristino,330000,0,330000,0,3.0,1.0,13801.0,K&G VIỆT NAM,1639.0,4.2874,False,167.0,273.0
172283470,"NEVER GIVE UP, mã G112. Áo thun nam nữ in chữ siêu đẹp, form unisex. Áo phông GOKING hàng hiệu, quà tặng cao cấp cho gia đình, cặp đôi, hội nhóm, doanh nghiệp",GOKING,99000,0,99000,0,233.0,4.8,18138.0,GOKING,1592.0,4.6657,False,9085.0,2669.0
31638205,Combo 4 quần lót nam cạp 1cm sợi tre Bamboo tự nhiên mềm mịn thấm hút mồ hôi - Màu Ngẫu nhiên - 2XL,MRM Manlywear,300000,71000,229000,24,969.0,4.7,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
71985742,"Áo Gió Nam, Áo khoác nam [Nhập EZAGG10K giảm 10K + Miễn Phí Vận Chuyển] Chống Thấm Nước Có Túi Trong Kèm Túi Khóa Kéo Phong Cách Trẻ Trung",dokafashion,298000,139000,159000,47,297.0,4.5,13906.0,Doka Fashion,1635.0,4.4608,True,1682.0,337.0
17911356,Áo khoác nam chống nắng gió thu đông Doka (DBLS101) chất liệu dù giữ ấm cao cấp,Doka,200000,91000,109000,46,125.0,4.1,9691.0,dokafashion,1696.0,4.335,True,1952.0,266.0
90979601,"Áo Khoác Dù Nam Dokafashion Cao Cấp 2 Lớp Vải Dù Ấm Áp Cản Gió Đi Nắng, Chống Nước EZDS23",dokafashion,209000,61000,148000,29,148.0,4.8,13906.0,Doka Fashion,1635.0,4.4608,True,1682.0,337.0
75329276,"Áo Polo Nam Pique Basic Co Giãn Thoáng Khí, combo 2 áo - DBM215",Doka,239000,100000,139000,42,236.0,4.6,15951.0,Shoppious,1613.0,4.3843,False,726.0,123.0
74536479,"Áo khoác dù nam DokaFashion giá tốt, giảm giá đến 45% ( Chọn màu )",Doka,100000,31000,69000,31,448.0,4.5,15951.0,Shoppious,1613.0,4.3843,False,726.0,123.0
145266582,"Combo 3 quần sịp tam giác, Set 3 quần lót nam dáng Brief ARISTINO chất liệu Bamboo thoáng mát, kháng khuẩn khử mùi cực tốt AC-06",Aristino,240000,60400,179600,25,480.0,4.6,224263.0,Aristino Fashion Store,591.0,4.7136,True,1208.0,2944.0
172322104,"TOKYO, mã G159. Áo thun hàng hiệu GOKING, form unisex cho nam nữ, trẻ em, bé trai gái. Áo phông in hình chữ đẹp. Quà tặng cao cấp cho gia đình, cặp đôi, hội nhóm, doanh nghiệp",GOKING,119000,0,119000,0,86.0,4.8,18138.0,GOKING,1592.0,4.6657,False,9085.0,2669.0
22654030,Hộp 4 quần lót nam Boxer ( quần sịp đùi ) hàng nhập câp cấp QL3,Nanjiren,400000,165000,235000,41,1459.0,4.7,5646.0,ONEZ Official Store,1786.0,4.3814,True,3595.0,1184.0
249207204,"Sịp đùi nam ICon cao cấp size từ 35-100kg, sịp nam BIG SIZE, quần lót nam ngoại cỡ, sịp đùi thun lạnh, sịp cỡ lớn",OEM,35000,10500,24500,30,55.0,0.0,331884.0,Zentino thời trang nam,45.0,4.2,False,5.0,18.0
22492292,"Áo polo nam ngắn tay có cổ, Combo 2 áo, DokaFashion regular fit chuẩn hàng xuất, áo phông thun polo nam tay ngắn – EZ235",dokafashion,285000,126000,159000,44,913.0,4.5,13906.0,Doka Fashion,1635.0,4.4608,True,1682.0,337.0
98942159,"Combo 4 quần đùi nam thể thao Sport ngắn, quần short nam vải Thun Poly 2 Da thoáng mát, chất liệu hút ẩm, độ co giãn tốt",AK Corner,490000,245000,245000,50,2150.0,4.6,175215.0,A K CORNER,782.0,4.6174,True,1422.0,243.0
76121693,"Áo Khoác Dù Nam Chống Nắng, Trược Nước Cao Cấp - PS21",Doka,179000,51000,128000,28,119.0,4.3,15951.0,Shoppious,1613.0,4.3843,False,726.0,123.0
22654030,Hộp 4 quần lót nam Boxer ( quần sịp đùi ) hàng nhập câp cấp QL3,Nanjiren,400000,165000,235000,41,1459.0,4.7,5646.0,ONEZ Official Store,1786.0,4.3814,True,3595.0,1184.0
47811534,Quần shorts thể thao nam dạng sọt sport đùi chất thun lạnh 4 chiều cao cấp phù hợp tập gym hay mặc nhà có màu trắng và đen DUI-P101,Doka,115000,56000,59000,49,1197.0,4.5,9691.0,dokafashion,1696.0,4.335,True,1952.0,266.0
124635780,"Áo sơ mi nam trơn tay dài cao cấp Lados - 779 chất kate lụa mềm mát, thấm hút mồ hôi",LADOS,235000,96000,139000,41,2906.0,4.6,175389.0,Thời Trang Lados,639.0,4.6093,True,2434.0,1832.0
22490714,"Áo thun nam cổ bẻ vải cá sấu, Combo 2 áo – EZ212",dokafashion,285000,106000,179000,37,552.0,4.5,13906.0,Doka Fashion,1635.0,4.4608,True,1682.0,337.0
7170169,Bộ 5 Quần Sịp Tam Giác Nam Nhật Bản (Nhiều mầu) - 5Star,OEM,95000,0,95000,0,6811.0,4.2,10911.0,5Star,1678.0,4.3542,False,4215.0,469.0
87909810,Áo Polo nam DokaFashion vải Cotton cá sấu cao cấp xuất xịn dệt bo dày dặn chuẩn form áo thun cổ bẻ tay ngắn - Doka EZDB01,dokafashion,110000,51000,59000,46,37.0,4.7,13906.0,Doka Fashion,1635.0,4.4608,True,1682.0,337.0
172210350,"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017",ARADO FASHION,199000,30000,169000,15,620.0,4.8,17914.0,FORMEN SHOP,1597.0,4.5439,False,4556.0,2040.0
52184516,Combo 3 quần lót nam Boxer sợi cotton organic mềm mịn thoáng mát co giãn 4 chiều MRM Manlywear ( TẶNG Đôi Tất Nam Cao Cấp Giao Ngẫu Nhiên),MRM Manlywear,285000,86000,199000,30,3896.0,4.6,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
144162512,"Combo 3 quân sịp đùi nam, set 3 quần lót boxer nam Aristino chất liệu cotton kháng khuẩn, khử mùi, co giãn 4 chiều thấm hút mồ hôi cực tốt ABX03707",Aristino,390000,100400,289600,26,734.0,4.7,224263.0,Aristino Fashion Store,591.0,4.7136,True,1208.0,2944.0
220670591,"Quần kaki nam ( TẶNG 1 QUẦN SHORT cao cấp theo số kg  )  chất vải cotton mềm mịn, co giãn, chống nhăn, nhanh khô, độ bền cao chuẩn phong cách thời trang Dokafashion DKFQKK01",dokafashion,499000,230000,269000,46,19.0,4.6,13906.0,Doka Fashion,1635.0,4.4608,True,1682.0,337.0
31637590,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,MRM Manlywear,340000,91000,249000,27,2761.0,4.7,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
114285672,Hộp 5 cái quần lót tam giác thông hơi nam - Sịp lưới nam thoáng mát,	OEM,70500,0,70500,0,423.0,4.6,160608.0,AT HOME,877.0,4.3752,False,3148.0,289.0
99968881,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,144000,255000,36,1726.0,4.8,55147.0,MRM Manlywear Official,1410.0,4.7069,True,11627.0,2938.0
87981660,"Combo 2 áo ba lỗ nam, áo 3 lỗ nam, sợi cotton mềm mịn, thấm hút mồ hôi tốt, thoáng mát, mặc thoải mái JAMANO",JAMANO,198000,49000,149000,25,1368.0,4.8,147336.0,JM STORE,974.0,4.6941,False,3894.0,895.0
